"Title","Description","Date","Category"
"12,000 chicks found abandoned in postal truck raise concerns about animal shipping","May 20, 2025  A Delaware animal shelter is working to find new homes for 8,000 surviving chicks that were left abandoned in a U.S. Postal Service truck for three days. Another 4,000 of the animals died.","2025-05-20","science"
"Trump unveils ambitious and expensive plans for 'Golden Dome' missile defense","May 20, 2025  The plan includes a vast array of space-based sensors and interceptors.","2025-05-20","science"
"A broken thruster jeopardized Voyager 1, but engineers executed a remote fix","May 20, 2025  NASA mission controllers raced against time to find a solution before a crucial ground-based radio used for communicating with Voyagers 1 and 2, went offline for upgrades.","2025-05-20","science"
"Trump is gutting environmental agencies. What does that mean for Americans?","May 20, 2025  The Trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change, including NOAA, EPA and FEMA. We asked NPR reporters Lauren Sommer and Alejandra Borunda what that the implications of that are — and who the changes will affect.","2025-05-20","science"
"Researchers puzzle over rash of baby monkey kidnappings","May 19, 2025  Young, male capuchin monkeys have started kidnapping the babies of nearby howler monkeys. Why? Maybe boredom.","2025-05-19","science"
"Where does your weather forecast come from?","May 19, 2025  Whether you get your forecast from an app on your phone, a website or a meteorologist on TV, most of the underlying information comes from the federal government.","2025-05-19","science"
"Why this physicist says we shouldn't write off wormholes","May 19, 2025  In science fiction, wormholes are hyperspace subway tubes linking one part of a galaxy directly to another, distant point. But could they actually exist? To find out, we talk to theoretical physicist Ron Gamble, who says wormholes aren't just a matter of science fiction — and they have big implications about the shape of space itself.","2025-05-19","science"
"Paleontologists discover a 500-million-year-old, 3-eyed predator","May 17, 2025  Fossils of the underwater predator shed new light on biodiversity from the Cambrian period.","2025-05-17","science"
"Scientists have figured out why flamingos are such weird eaters","May 16, 2025  Flamingos look silly when they eat, but new research suggests they're actually being smart.","2025-05-16","science"
"Why UnitedHealth's terrible year is dragging down the Dow","May 16, 2025  The health care giant's shares are down more than 50% in the last month. That's hurting the powerful U.S. stock-market index.","2025-05-16","science"
"The DNA secret behind orange cats","May 16, 2025  Approximately 80% of orange cats are males, including the four orange cats owned by the Short Wave team. Scientists have long suspected that orange color was a sex-linked trait — hiding somewhere on the X chromosome. Now, scientists at Stanford University and Kyushu University in Japan have characterized the mutation responsible for orange cat coloration. Both groups published their results in the journal Cell Biology this week.","2025-05-16","science"
"The all-female free divers of Jeju Island have a 'superpower' in their genes","May 15, 2025  The all-female Korean Haenyeo divers show genetic adaptations to cold-water diving involving their blood pressure and cold tolerance.  It's ""like they have a superpower,"" says one of the researchers.","2025-05-15","science"
"Marine life's latest hotspot could be an underwater volcano primed to erupt off Oregon","May 15, 2025  A researcher monitoring Axial Seamount, 300 miles off the coast of Oregon, says the eruption is expected to happen before the year is over.","2025-05-15","science"
"Hunt like a bat! How baby bats learn to eavesdrop on their next meal","May 14, 2025  Most bats use echolocation to navigate and hunt, but some use their ears for another trick: eavesdropping.","2025-05-14","science"
"UnitedHealth Group abruptly replaces CEO Andrew Witty, deepening a terrible year","May 13, 2025  The health care conglomerate is facing mounting financial problems – and ongoing consumer anger over high costs and denied claims.","2025-05-13","science"
"A Soviet-era space probe crashed back to Earth after more than 50 years in orbit","May 12, 2025  Kosmos 482 rocketed into space in 1972 on a quest to reach Venus, but its journey was scuttled by an apparent engine malfunction.","2025-05-12","science"
"Electric grills are a climate-friendly option to fossil fuel grills","May 23, 2025  Grilling usually involves burning fossil fuel. But some manufacturers are offering electric grills and citing climate change and convenience as reasons to switch.","2025-05-23","science"
"Congress moves to loosen toxic air pollution rules","May 22, 2025  The House and Senate both voted to loosen regulations on air pollutants like dioxin and mercury, which are associated with higher cancer risk.","2025-05-22","science"
"Forecasters predict above-average hurricane season again","May 22, 2025  Forecasters expect 13 to 19 storms to form in the Atlantic between June 1 and the end of November. At least 6 of those are forecast to be full-blown hurricanes.","2025-05-22","science"
"Community groups say Louisiana is trying to stop them from monitoring air pollution","May 22, 2025  For community groups to allege violations of environmental rules, a state law says groups have to use federally-approved testing equipment, and it sets restrictions for analyzing and sharing the data.","2025-05-22","science"
"Scientists want to track the world's biodiversity using DNA in the air","May 22, 2025  Scientists have found a way to sample DNA out of the air on a large scale — making it possible to one day track the health and well being of all kinds of species around the world.","2025-05-22","science"
"First FDA-cleared Alzheimer's blood test could make diagnoses faster, more accurate","May 21, 2025  The first Alzheimer's blood test cleared by the Food And Drug Administration is poised to change the way doctors diagnose and treat the disease.","2025-05-21","science"
"A brain-dead woman's pregnancy raises questions about Georgia's abortion law","May 21, 2025  A Georgia woman declared brain dead is being kept on life support because she is pregnant.  It raises complicated legal questions about restrictive abortion laws in Georgia and other states.","2025-05-21","science"
"A man let snakes bite him for years. He could be the key to a universal antivenom","May 21, 2025  What's it like to get bit by a venomous snake? ""It's like a bee sting times a thousand,"" Tim Friede says. Tim would know. Over the past few decades, he's let himself be bitten over 200 times by all kinds of venomous snakes — black mambas, taipans, cobras, kraits and more. With time, he's gradually built immunity to multiple types of venom. Could scientists help him share that immunity with others?","2025-05-21","science"
"12,000 chicks found abandoned in postal truck raise concerns about animal shipping","May 20, 2025  A Delaware animal shelter is working to find new homes for 8,000 surviving chicks that were left abandoned in a U.S. Postal Service truck for three days. Another 4,000 of the animals died.","2025-05-20","science"
"Trump unveils ambitious and expensive plans for 'Golden Dome' missile defense","May 20, 2025  The plan includes a vast array of space-based sensors and interceptors.","2025-05-20","science"
"A broken thruster jeopardized Voyager 1, but engineers executed a remote fix","May 20, 2025  NASA mission controllers raced against time to find a solution before a crucial ground-based radio used for communicating with Voyagers 1 and 2, went offline for upgrades.","2025-05-20","science"
"Trump is gutting environmental agencies. What does that mean for Americans?","May 20, 2025  The Trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change, including NOAA, EPA and FEMA. We asked NPR reporters Lauren Sommer and Alejandra Borunda what that the implications of that are — and who the changes will affect.","2025-05-20","science"
"Researchers puzzle over rash of baby monkey kidnappings","May 19, 2025  Young, male capuchin monkeys have started kidnapping the babies of nearby howler monkeys. Why? Maybe boredom.","2025-05-19","science"
"Where does your weather forecast come from?","May 19, 2025  Whether you get your forecast from an app on your phone, a website or a meteorologist on TV, most of the underlying information comes from the federal government.","2025-05-19","science"
"Why this physicist says we shouldn't write off wormholes","May 19, 2025  In science fiction, wormholes are hyperspace subway tubes linking one part of a galaxy directly to another, distant point. But could they actually exist? To find out, we talk to theoretical physicist Ron Gamble, who says wormholes aren't just a matter of science fiction — and they have big implications about the shape of space itself.","2025-05-19","science"
"Paleontologists discover a 500-million-year-old, 3-eyed predator","May 17, 2025  Fossils of the underwater predator shed new light on biodiversity from the Cambrian period.","2025-05-17","science"
"Scientists have figured out why flamingos are such weird eaters","May 16, 2025  Flamingos look silly when they eat, but new research suggests they're actually being smart.","2025-05-16","science"
"Why UnitedHealth's terrible year is dragging down the Dow","May 16, 2025  The health care giant's shares are down more than 50% in the last month. That's hurting the powerful U.S. stock-market index.","2025-05-16","science"
"The DNA secret behind orange cats","May 16, 2025  Approximately 80% of orange cats are males, including the four orange cats owned by the Short Wave team. Scientists have long suspected that orange color was a sex-linked trait — hiding somewhere on the X chromosome. Now, scientists at Stanford University and Kyushu University in Japan have characterized the mutation responsible for orange cat coloration. Both groups published their results in the journal Cell Biology this week.","2025-05-16","science"
"The all-female free divers of Jeju Island have a 'superpower' in their genes","May 15, 2025  The all-female Korean Haenyeo divers show genetic adaptations to cold-water diving involving their blood pressure and cold tolerance.  It's ""like they have a superpower,"" says one of the researchers.","2025-05-15","science"
"Marine life's latest hotspot could be an underwater volcano primed to erupt off Oregon","May 15, 2025  A researcher monitoring Axial Seamount, 300 miles off the coast of Oregon, says the eruption is expected to happen before the year is over.","2025-05-15","science"
"Hunt like a bat! How baby bats learn to eavesdrop on their next meal","May 14, 2025  Most bats use echolocation to navigate and hunt, but some use their ears for another trick: eavesdropping.","2025-05-14","science"
"UnitedHealth Group abruptly replaces CEO Andrew Witty, deepening a terrible year","May 13, 2025  The health care conglomerate is facing mounting financial problems – and ongoing consumer anger over high costs and denied claims.","2025-05-13","science"
"A Soviet-era space probe crashed back to Earth after more than 50 years in orbit","May 12, 2025  Kosmos 482 rocketed into space in 1972 on a quest to reach Venus, but its journey was scuttled by an apparent engine malfunction.","2025-05-12","science"
"Electric grills are a climate-friendly option to fossil fuel grills","May 23, 2025  Grilling usually involves burning fossil fuel. But some manufacturers are offering electric grills and citing climate change and convenience as reasons to switch.","2025-05-23","science"
"Congress moves to loosen toxic air pollution rules","May 22, 2025  The House and Senate both voted to loosen regulations on air pollutants like dioxin and mercury, which are associated with higher cancer risk.","2025-05-22","science"
"Forecasters predict above-average hurricane season again","May 22, 2025  Forecasters expect 13 to 19 storms to form in the Atlantic between June 1 and the end of November. At least 6 of those are forecast to be full-blown hurricanes.","2025-05-22","science"
"Community groups say Louisiana is trying to stop them from monitoring air pollution","May 22, 2025  For community groups to allege violations of environmental rules, a state law says groups have to use federally-approved testing equipment, and it sets restrictions for analyzing and sharing the data.","2025-05-22","science"
"Scientists want to track the world's biodiversity using DNA in the air","May 22, 2025  Scientists have found a way to sample DNA out of the air on a large scale — making it possible to one day track the health and well being of all kinds of species around the world.","2025-05-22","science"
"First FDA-cleared Alzheimer's blood test could make diagnoses faster, more accurate","May 21, 2025  The first Alzheimer's blood test cleared by the Food And Drug Administration is poised to change the way doctors diagnose and treat the disease.","2025-05-21","science"
"A brain-dead woman's pregnancy raises questions about Georgia's abortion law","May 21, 2025  A Georgia woman declared brain dead is being kept on life support because she is pregnant.  It raises complicated legal questions about restrictive abortion laws in Georgia and other states.","2025-05-21","science"
"A man let snakes bite him for years. He could be the key to a universal antivenom","May 21, 2025  What's it like to get bit by a venomous snake? ""It's like a bee sting times a thousand,"" Tim Friede says. Tim would know. Over the past few decades, he's let himself be bitten over 200 times by all kinds of venomous snakes — black mambas, taipans, cobras, kraits and more. With time, he's gradually built immunity to multiple types of venom. Could scientists help him share that immunity with others?","2025-05-21","science"
"12,000 chicks found abandoned in postal truck raise concerns about animal shipping","May 20, 2025  A Delaware animal shelter is working to find new homes for 8,000 surviving chicks that were left abandoned in a U.S. Postal Service truck for three days. Another 4,000 of the animals died.","2025-05-20","science"
"Trump unveils ambitious and expensive plans for 'Golden Dome' missile defense","May 20, 2025  The plan includes a vast array of space-based sensors and interceptors.","2025-05-20","science"
"A broken thruster jeopardized Voyager 1, but engineers executed a remote fix","May 20, 2025  NASA mission controllers raced against time to find a solution before a crucial ground-based radio used for communicating with Voyagers 1 and 2, went offline for upgrades.","2025-05-20","science"
"Trump is gutting environmental agencies. What does that mean for Americans?","May 20, 2025  The Trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change, including NOAA, EPA and FEMA. We asked NPR reporters Lauren Sommer and Alejandra Borunda what that the implications of that are — and who the changes will affect.","2025-05-20","science"
"Researchers puzzle over rash of baby monkey kidnappings","May 19, 2025  Young, male capuchin monkeys have started kidnapping the babies of nearby howler monkeys. Why? Maybe boredom.","2025-05-19","science"
"Where does your weather forecast come from?","May 19, 2025  Whether you get your forecast from an app on your phone, a website or a meteorologist on TV, most of the underlying information comes from the federal government.","2025-05-19","science"
"Why this physicist says we shouldn't write off wormholes","May 19, 2025  In science fiction, wormholes are hyperspace subway tubes linking one part of a galaxy directly to another, distant point. But could they actually exist? To find out, we talk to theoretical physicist Ron Gamble, who says wormholes aren't just a matter of science fiction — and they have big implications about the shape of space itself.","2025-05-19","science"
"Paleontologists discover a 500-million-year-old, 3-eyed predator","May 17, 2025  Fossils of the underwater predator shed new light on biodiversity from the Cambrian period.","2025-05-17","science"
"Scientists have figured out why flamingos are such weird eaters","May 16, 2025  Flamingos look silly when they eat, but new research suggests they're actually being smart.","2025-05-16","science"
"Why UnitedHealth's terrible year is dragging down the Dow","May 16, 2025  The health care giant's shares are down more than 50% in the last month. That's hurting the powerful U.S. stock-market index.","2025-05-16","science"
"The DNA secret behind orange cats","May 16, 2025  Approximately 80% of orange cats are males, including the four orange cats owned by the Short Wave team. Scientists have long suspected that orange color was a sex-linked trait — hiding somewhere on the X chromosome. Now, scientists at Stanford University and Kyushu University in Japan have characterized the mutation responsible for orange cat coloration. Both groups published their results in the journal Cell Biology this week.","2025-05-16","science"
"The all-female free divers of Jeju Island have a 'superpower' in their genes","May 15, 2025  The all-female Korean Haenyeo divers show genetic adaptations to cold-water diving involving their blood pressure and cold tolerance.  It's ""like they have a superpower,"" says one of the researchers.","2025-05-15","science"
"Marine life's latest hotspot could be an underwater volcano primed to erupt off Oregon","May 15, 2025  A researcher monitoring Axial Seamount, 300 miles off the coast of Oregon, says the eruption is expected to happen before the year is over.","2025-05-15","science"
"Hunt like a bat! How baby bats learn to eavesdrop on their next meal","May 14, 2025  Most bats use echolocation to navigate and hunt, but some use their ears for another trick: eavesdropping.","2025-05-14","science"
"UnitedHealth Group abruptly replaces CEO Andrew Witty, deepening a terrible year","May 13, 2025  The health care conglomerate is facing mounting financial problems – and ongoing consumer anger over high costs and denied claims.","2025-05-13","science"
"A Soviet-era space probe crashed back to Earth after more than 50 years in orbit","May 12, 2025  Kosmos 482 rocketed into space in 1972 on a quest to reach Venus, but its journey was scuttled by an apparent engine malfunction.","2025-05-12","science"
"Electric grills are a climate-friendly option to fossil fuel grills","May 23, 2025  Grilling usually involves burning fossil fuel. But some manufacturers are offering electric grills and citing climate change and convenience as reasons to switch.","2025-05-23","science"
"Congress moves to loosen toxic air pollution rules","May 22, 2025  The House and Senate both voted to loosen regulations on air pollutants like dioxin and mercury, which are associated with higher cancer risk.","2025-05-22","science"
"Forecasters predict above-average hurricane season again","May 22, 2025  Forecasters expect 13 to 19 storms to form in the Atlantic between June 1 and the end of November. At least 6 of those are forecast to be full-blown hurricanes.","2025-05-22","science"
"Community groups say Louisiana is trying to stop them from monitoring air pollution","May 22, 2025  For community groups to allege violations of environmental rules, a state law says groups have to use federally-approved testing equipment, and it sets restrictions for analyzing and sharing the data.","2025-05-22","science"
"Harvard's ability to enroll international students revoked. And, summer book releases","May 23, 2025  The Trump administration has revoked Harvard University's ability to enroll international students. And, 17 books releasing this summer that NPR critics are excited about.","2025-05-23","world"
"Record floodwaters in eastern Australia leave 4 dead and 1 missing","May 23, 2025  Some 50,000 people have been isolated by the flooding in New South Wales, after days of heavy rain. Four bodies have been retrieved from floodwaters since Wednesday.","2025-05-23","world"
"Trump's Harvard visa threat could wipe out several of the school's sports teams","May 23, 2025  Some of Harvard's sports teams could be wiped out by a Trump administration decision that would make the school with the nation's largest athletic program ineligible for international student visas.","2025-05-23","world"
"Voice of America's prospects appear grim after appeals court order","May 22, 2025  A federal appeals court said it would not intervene — at least for now — to thwart the Trump administration's plans for the near-total dismantlement of Voice of America.","2025-05-22","world"
"Two Israeli embassy staffers killed amid a rise in antisemitism","May 22, 2025  Yaron Lischinsky and Sarah Milgrim worked for the Israeli embassy in Washington, D.C.","2025-05-22","world"
"The U.K. hands Chagos Islands over to Mauritius but says it will secure a U.S. base","May 22, 2025  The Chagos Islands are in the middle of the Indian Ocean and home to a strategic military base on Diego Garcia.","2025-05-22","world"
"Former U.S. ambassador to Israel says D.C. shooting is part of an 'explosion' of antisemitism","May 22, 2025  NPR's Mary Louise Kelly talks with Daniel Shapiro, former U.S. ambassador to Israel and distinguished fellow at the Atlantic Council, about the shooting deaths of two Israeli embassy staffers in D.C.","2025-05-22","world"
"In Mexico, Songs for Women who Kill Their Abusers","May 22, 2025  By some estimates, some 90% of murders in Mexico go unpunished. But when a woman in Mexico kills an abusive partner, many of them do end up in jail convicted of ""excessive use of legitimate force"". Mexican singer-songwriter Vivir Quintana started looking into the issue and found compelling, tragic tales. We speak to Quintana about her new album which tells the stories of some of these women.","2025-05-22","world"
"A family in Indian-administered Kashmir fears being split apart after militant attack","May 22, 2025  The husband is from India. The wife is from Pakistan. Their son is Indian and daughters are Pakistani. India blames Pakistan for an April militant attack in Kashmir and ordered Pakistanis to leave.","2025-05-22","world"
"South Africa's president is praised for staying calm during Trump's Oval Office ambush","May 22, 2025  South Africans credit President Cyril Ramaphosa for keeping his cool as President Trump made a choreographed presentation accusing the country of murdering white farmers.","2025-05-22","world"
"Two Israeli embassy aides killed. And, House passes Trump's 'big, beautiful bill'","May 22, 2025  Two staff members of Israel's embassy in Washington, D.C., were shot dead last night outside of a Jewish museum. And, House Republicans passed President Trump's bill.","2025-05-22","world"
"War Crimes","May 22, 2025  On today's episode, we travel from the battlefields of the U.S. Civil War, through the rubble of two world wars, to the hallways of the Hague, to see how the modern world has tried to define — and prosecute — war crimes. This episode originally aired at ""The Rules of War"" in 2024.","2025-05-22","world"
"Trump tried to shutter Radio Free Europe. The EU threw it a lifeline","May 21, 2025  The Trump administration is withholding $75 million designated for the news outlet. EU officials say RFE/RL has played a critical role in providing news to areas where the press can't operate freely.","2025-05-21","world"
"An Interview with President Trump's Ambassador to Israel","May 21, 2025  U.S. Ambassador to Israel Mike Huckabee says he's ""outraged"" at at the leaders of the UK, France, and Canada for condemning Israel's new military offensive in Gaza. He sat down with NPR to express the U.S. view of the conflict as pressure on Israel from around the world is mounting, not just for the new offensive in Gaza but also for restricting food aid to the territory.","2025-05-21","world"
"U.S. Ambassador Huckabee is 'outraged' at European leaders for condemning Israel","May 21, 2025  In an interview with NPR, U.S. Ambassador to Israel Mike Huckabee said the U.K., Canada and France were ""blaming the wrong perpetrator,"" and that Hamas is responsible for the suffering in Gaza.","2025-05-21","world"
"Why Baptists in North Carolina agreed to resettle Afrikaners as refugees","May 21, 2025  Despite controversy over Afrikaners' refugee status, a Baptist ministry says they have a religious duty to help settle them in the U.S.","2025-05-21","world"
"Greetings from Afrin, Syria, where Kurds danced their hearts out to celebrate spring","May 21, 2025  Far-Flung Postcards is a weekly series in which NPR's international correspondents share moments from their lives and work around the world.","2025-05-21","world"
"South African president visits the U.S. And, GOP divided over Trump's tax bill","May 21, 2025  South Africa's President Cyril Ramaphosa is set to meet President Trump today in an attempt to reset relations between the two countries. And, House Republicans are divided over Trump's massive bill.","2025-05-21","world"
"Trump ambushes South Africa's president with false claims of 'white genocide'","May 21, 2025  The Oval Office meeting went off the rails when President Trump started playing videos and repeating discredited claims about a ""white genocide"" in South Africa.","2025-05-21","world"
"Japan's agriculture minister resigns after his remark about not having to buy rice","May 21, 2025   Japan's agriculture minister resigned because of political fallout over recent comments that he ""never had to buy rice."" The resignation comes as the public struggles with record high prices of rice.","2025-05-21","world"
"The personal secretary and adviser to Mexico City's mayor are shot dead","May 21, 2025  Mexico's president condemned the killings and said there would not be impunity. She said she was not aware of any threats against the mayor.","2025-05-21","world"
"U.K. suspends free trade talks with Israel and announces sanctions","May 21, 2025  Pressure from close allies is mounting on Israel following a nearly three-month blockade of supplies into Gaza. Even the United States has voiced concerns over the hunger crisis.","2025-05-21","world"
"'Heart Lamp' wins International Booker, with stories of India's Muslim women and girls","May 20, 2025  The major writing prize awards the best fiction translated into English. Judges called Banu Mushtaq's short story collection ""something genuinely new for English readers.""","2025-05-20","world"
"India's Relationship with the U.S.","May 20, 2025  There's been a political backlash in India after the Trump administration deported dozens of Indian migrants who were in the U.S. without legal status. This comes after the U.S. had announced 26 percent tariffs on India, which are currently suspended. Those events have changed Indian's perceptions of what they had thought was a cozy relationship with the U.S. and have cause a headache for the Indian prime minister. We go to western India to hear what people think of the U.S. now.","2025-05-20","world"
"Harvard's ability to enroll international students revoked. And, summer book releases","May 23, 2025  The Trump administration has revoked Harvard University's ability to enroll international students. And, 17 books releasing this summer that NPR critics are excited about.","2025-05-23","world"
"Record floodwaters in eastern Australia leave 4 dead and 1 missing","May 23, 2025  Some 50,000 people have been isolated by the flooding in New South Wales, after days of heavy rain. Four bodies have been retrieved from floodwaters since Wednesday.","2025-05-23","world"
"Trump's Harvard visa threat could wipe out several of the school's sports teams","May 23, 2025  Some of Harvard's sports teams could be wiped out by a Trump administration decision that would make the school with the nation's largest athletic program ineligible for international student visas.","2025-05-23","world"
"Voice of America's prospects appear grim after appeals court order","May 22, 2025  A federal appeals court said it would not intervene — at least for now — to thwart the Trump administration's plans for the near-total dismantlement of Voice of America.","2025-05-22","world"
"Two Israeli embassy staffers killed amid a rise in antisemitism","May 22, 2025  Yaron Lischinsky and Sarah Milgrim worked for the Israeli embassy in Washington, D.C.","2025-05-22","world"
"The U.K. hands Chagos Islands over to Mauritius but says it will secure a U.S. base","May 22, 2025  The Chagos Islands are in the middle of the Indian Ocean and home to a strategic military base on Diego Garcia.","2025-05-22","world"
"Former U.S. ambassador to Israel says D.C. shooting is part of an 'explosion' of antisemitism","May 22, 2025  NPR's Mary Louise Kelly talks with Daniel Shapiro, former U.S. ambassador to Israel and distinguished fellow at the Atlantic Council, about the shooting deaths of two Israeli embassy staffers in D.C.","2025-05-22","world"
"In Mexico, Songs for Women who Kill Their Abusers","May 22, 2025  By some estimates, some 90% of murders in Mexico go unpunished. But when a woman in Mexico kills an abusive partner, many of them do end up in jail convicted of ""excessive use of legitimate force"". Mexican singer-songwriter Vivir Quintana started looking into the issue and found compelling, tragic tales. We speak to Quintana about her new album which tells the stories of some of these women.","2025-05-22","world"
"A family in Indian-administered Kashmir fears being split apart after militant attack","May 22, 2025  The husband is from India. The wife is from Pakistan. Their son is Indian and daughters are Pakistani. India blames Pakistan for an April militant attack in Kashmir and ordered Pakistanis to leave.","2025-05-22","world"
"South Africa's president is praised for staying calm during Trump's Oval Office ambush","May 22, 2025  South Africans credit President Cyril Ramaphosa for keeping his cool as President Trump made a choreographed presentation accusing the country of murdering white farmers.","2025-05-22","world"
"Two Israeli embassy aides killed. And, House passes Trump's 'big, beautiful bill'","May 22, 2025  Two staff members of Israel's embassy in Washington, D.C., were shot dead last night outside of a Jewish museum. And, House Republicans passed President Trump's bill.","2025-05-22","world"
"War Crimes","May 22, 2025  On today's episode, we travel from the battlefields of the U.S. Civil War, through the rubble of two world wars, to the hallways of the Hague, to see how the modern world has tried to define — and prosecute — war crimes. This episode originally aired at ""The Rules of War"" in 2024.","2025-05-22","world"
"Trump tried to shutter Radio Free Europe. The EU threw it a lifeline","May 21, 2025  The Trump administration is withholding $75 million designated for the news outlet. EU officials say RFE/RL has played a critical role in providing news to areas where the press can't operate freely.","2025-05-21","world"
"An Interview with President Trump's Ambassador to Israel","May 21, 2025  U.S. Ambassador to Israel Mike Huckabee says he's ""outraged"" at at the leaders of the UK, France, and Canada for condemning Israel's new military offensive in Gaza. He sat down with NPR to express the U.S. view of the conflict as pressure on Israel from around the world is mounting, not just for the new offensive in Gaza but also for restricting food aid to the territory.","2025-05-21","world"
"U.S. Ambassador Huckabee is 'outraged' at European leaders for condemning Israel","May 21, 2025  In an interview with NPR, U.S. Ambassador to Israel Mike Huckabee said the U.K., Canada and France were ""blaming the wrong perpetrator,"" and that Hamas is responsible for the suffering in Gaza.","2025-05-21","world"
"Why Baptists in North Carolina agreed to resettle Afrikaners as refugees","May 21, 2025  Despite controversy over Afrikaners' refugee status, a Baptist ministry says they have a religious duty to help settle them in the U.S.","2025-05-21","world"
"Greetings from Afrin, Syria, where Kurds danced their hearts out to celebrate spring","May 21, 2025  Far-Flung Postcards is a weekly series in which NPR's international correspondents share moments from their lives and work around the world.","2025-05-21","world"
"South African president visits the U.S. And, GOP divided over Trump's tax bill","May 21, 2025  South Africa's President Cyril Ramaphosa is set to meet President Trump today in an attempt to reset relations between the two countries. And, House Republicans are divided over Trump's massive bill.","2025-05-21","world"
"Trump ambushes South Africa's president with false claims of 'white genocide'","May 21, 2025  The Oval Office meeting went off the rails when President Trump started playing videos and repeating discredited claims about a ""white genocide"" in South Africa.","2025-05-21","world"
"Japan's agriculture minister resigns after his remark about not having to buy rice","May 21, 2025   Japan's agriculture minister resigned because of political fallout over recent comments that he ""never had to buy rice."" The resignation comes as the public struggles with record high prices of rice.","2025-05-21","world"
"The personal secretary and adviser to Mexico City's mayor are shot dead","May 21, 2025  Mexico's president condemned the killings and said there would not be impunity. She said she was not aware of any threats against the mayor.","2025-05-21","world"
"U.K. suspends free trade talks with Israel and announces sanctions","May 21, 2025  Pressure from close allies is mounting on Israel following a nearly three-month blockade of supplies into Gaza. Even the United States has voiced concerns over the hunger crisis.","2025-05-21","world"
"'Heart Lamp' wins International Booker, with stories of India's Muslim women and girls","May 20, 2025  The major writing prize awards the best fiction translated into English. Judges called Banu Mushtaq's short story collection ""something genuinely new for English readers.""","2025-05-20","world"
"India's Relationship with the U.S.","May 20, 2025  There's been a political backlash in India after the Trump administration deported dozens of Indian migrants who were in the U.S. without legal status. This comes after the U.S. had announced 26 percent tariffs on India, which are currently suspended. Those events have changed Indian's perceptions of what they had thought was a cozy relationship with the U.S. and have cause a headache for the Indian prime minister. We go to western India to hear what people think of the U.S. now.","2025-05-20","world"
"Harvard's ability to enroll international students revoked. And, summer book releases","May 23, 2025  The Trump administration has revoked Harvard University's ability to enroll international students. And, 17 books releasing this summer that NPR critics are excited about.","2025-05-23","world"
"Record floodwaters in eastern Australia leave 4 dead and 1 missing","May 23, 2025  Some 50,000 people have been isolated by the flooding in New South Wales, after days of heavy rain. Four bodies have been retrieved from floodwaters since Wednesday.","2025-05-23","world"
"Trump's Harvard visa threat could wipe out several of the school's sports teams","May 23, 2025  Some of Harvard's sports teams could be wiped out by a Trump administration decision that would make the school with the nation's largest athletic program ineligible for international student visas.","2025-05-23","world"
"Voice of America's prospects appear grim after appeals court order","May 22, 2025  A federal appeals court said it would not intervene — at least for now — to thwart the Trump administration's plans for the near-total dismantlement of Voice of America.","2025-05-22","world"
"Two Israeli embassy staffers killed amid a rise in antisemitism","May 22, 2025  Yaron Lischinsky and Sarah Milgrim worked for the Israeli embassy in Washington, D.C.","2025-05-22","world"
"The U.K. hands Chagos Islands over to Mauritius but says it will secure a U.S. base","May 22, 2025  The Chagos Islands are in the middle of the Indian Ocean and home to a strategic military base on Diego Garcia.","2025-05-22","world"
"Former U.S. ambassador to Israel says D.C. shooting is part of an 'explosion' of antisemitism","May 22, 2025  NPR's Mary Louise Kelly talks with Daniel Shapiro, former U.S. ambassador to Israel and distinguished fellow at the Atlantic Council, about the shooting deaths of two Israeli embassy staffers in D.C.","2025-05-22","world"
"In Mexico, Songs for Women who Kill Their Abusers","May 22, 2025  By some estimates, some 90% of murders in Mexico go unpunished. But when a woman in Mexico kills an abusive partner, many of them do end up in jail convicted of ""excessive use of legitimate force"". Mexican singer-songwriter Vivir Quintana started looking into the issue and found compelling, tragic tales. We speak to Quintana about her new album which tells the stories of some of these women.","2025-05-22","world"
"A family in Indian-administered Kashmir fears being split apart after militant attack","May 22, 2025  The husband is from India. The wife is from Pakistan. Their son is Indian and daughters are Pakistani. India blames Pakistan for an April militant attack in Kashmir and ordered Pakistanis to leave.","2025-05-22","world"
"South Africa's president is praised for staying calm during Trump's Oval Office ambush","May 22, 2025  South Africans credit President Cyril Ramaphosa for keeping his cool as President Trump made a choreographed presentation accusing the country of murdering white farmers.","2025-05-22","world"
"Two Israeli embassy aides killed. And, House passes Trump's 'big, beautiful bill'","May 22, 2025  Two staff members of Israel's embassy in Washington, D.C., were shot dead last night outside of a Jewish museum. And, House Republicans passed President Trump's bill.","2025-05-22","world"
"War Crimes","May 22, 2025  On today's episode, we travel from the battlefields of the U.S. Civil War, through the rubble of two world wars, to the hallways of the Hague, to see how the modern world has tried to define — and prosecute — war crimes. This episode originally aired at ""The Rules of War"" in 2024.","2025-05-22","world"
"Trump tried to shutter Radio Free Europe. The EU threw it a lifeline","May 21, 2025  The Trump administration is withholding $75 million designated for the news outlet. EU officials say RFE/RL has played a critical role in providing news to areas where the press can't operate freely.","2025-05-21","world"
